id;nik;nama;alamat;rt;rw;jenis_kelamin;created_at;updated_at
2245;2110631250050;Caryl Vallack;7042 Anzinger Road;003;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2246;2110631250051;Corrinne Riddel;682 Schlimgen Road;003;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2247;2110631250052;Huberto O' Driscoll;8841 Jackson Plaza;005;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2248;2110631250053;Noami Ensley;2242 Thackeray Plaza;001;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2249;2110631250054;Wyndham Fuxman;54 Kensington Point;008;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2250;2110631250055;Clare Blaasch;925 Dawn Terrace;003;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2251;2110631250056;Tracey Marten;9 Katie Junction;008;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2252;2110631250057;Stacee Baynard;97 Melrose Center;004;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2253;2110631250058;Otho Colthurst;8021 Bonner Alley;009;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2254;2110631250059;Hilliard Gamage;12 Lakewood Gardens Crossing;002;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2255;2110631250060;Leontine Philips;87326 Muir Junction;005;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2256;2110631250061;Connor Ortzen;3 Thompson Point;002;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2257;2110631250062;Helena Morteo;815 Moose Parkway;005;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2258;2110631250063;Jo Bedin;2177 Anzinger Park;004;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2259;2110631250064;Griffy Schwander;1199 Reinke Pass;004;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2260;2110631250065;Johnny Molyneux;5989 Pleasure Hill;001;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2261;2110631250066;Lea Flack;887 Dryden Alley;007;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2262;2110631250067;Tiffany Burkett;20 Eggendart Hill;005;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2263;2110631250068;Dav Stell;3 Emmet Terrace;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2264;2110631250069;Marietta Ainge;731 Sunbrook Terrace;002;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2265;2110631250070;Denys Brayley;7304 Shelley Road;002;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2266;2110631250071;Melloney Rix;0071 Eggendart Alley;003;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2267;2110631250072;Bing Bowman;1257 Nobel Crossing;009;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2268;2110631250073;Anni Longthorne;1589 Debra Terrace;010;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2269;2110631250074;Nananne Merton;18470 Union Crossing;010;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2270;2110631250075;Randie Alexis;Kp. Era Caffe 3;004;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2271;2110631250076;Flynn Startin;Kp. Era Caffe 4;004;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2272;2110631250077;Theodore Grimwad;7 Merchant Avenue;006;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2273;2110631250078;Hally Maceur;21 Daystar Park;007;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2274;2110631250079;Johnny Basilio;34 Ridgeview Point;005;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2275;2110631250080;Drucill Silvers;77096 Russell Court;001;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2276;2110631250081;Tedd Delia;7042 Anzinger Road;008;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2277;2110631250082;Buddy Freak;682 Schlimgen Road;004;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2278;2110631250083;Fionnula Lonsdale;8841 Jackson Plaza;001;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2279;2110631250084;Rayshell Manterfield;2242 Thackeray Plaza;006;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2280;2110631250085;Immanuel Cheyne;54 Kensington Point;001;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2281;2110631250086;Ealasaid Dalliston;925 Dawn Terrace;003;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2282;2110631250087;Cosme Rabley;9 Katie Junction;001;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2283;2110631250088;Calv Boyson;97 Melrose Center;003;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2284;2110631250089;Julita Filasov;8021 Bonner Alley;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2285;2110631250090;Winifred Keener;12 Lakewood Gardens Crossing;002;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2286;2110631250091;Rodolfo Ferras;87326 Muir Junction;006;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2287;2110631250092;Sheba Druitt;3 Thompson Point;001;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2288;2110631250093;Auroora Cobelli;815 Moose Parkway;008;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2289;2110631250094;Kerwinn Kramer;2177 Anzinger Park;003;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2290;2110631250095;Darci Buttress;1199 Reinke Pass;006;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2291;2110631250096;Merlina Dunthorn;5989 Pleasure Hill;008;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2292;2110631250097;Melisenda Stubbeley;887 Dryden Alley;001;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2293;2110631250098;Eadith Sheeres;20 Eggendart Hill;002;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2294;2110631250099;Valentine Rodda;3 Emmet Terrace;008;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2295;2110631250100;Judye McKleod;731 Sunbrook Terrace;003;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2296;2110631250101;Kingsly Acors;7304 Shelley Road;001;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2297;2110631250102;Gianni Stallion;0071 Eggendart Alley;006;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2298;2110631250103;Nikolas Braganca;1257 Nobel Crossing;009;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2299;2110631250104;Felita Lednor;1589 Debra Terrace;002;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2300;2110631250105;Latrena Culwen;18470 Union Crossing;002;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2301;2110631250106;Cletis Stannus;Kp. Era Caffe 3;009;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2302;2110631250107;Josi MacAvddy;Kp. Era Caffe 4;006;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2303;2110631250108;Meryl Searjeant;7 Merchant Avenue;009;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2304;2110631250109;Sibylla Fillingham;21 Daystar Park;004;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2305;2110631250110;Nona Honywill;34 Ridgeview Point;002;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2306;2110631250111;Caril Dutnall;77096 Russell Court;010;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2307;2110631250112;Purcell Dawe;7042 Anzinger Road;009;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2308;2110631250113;Carrissa Flemmich;682 Schlimgen Road;003;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2309;2110631250114;Margareta Maciejewski;8841 Jackson Plaza;001;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2310;2110631250115;Michell Kleinmann;2242 Thackeray Plaza;008;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2311;2110631250116;Wini Farquarson;54 Kensington Point;002;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2312;2110631250117;Avictor Saket;925 Dawn Terrace;002;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2313;2110631250118;Brandy Tummons;9 Katie Junction;010;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2314;2110631250119;Hazlett Boecke;97 Melrose Center;004;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2315;2110631250120;Lavinie McBrearty;8021 Bonner Alley;006;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2316;2110631250121;Flinn Ganforth;12 Lakewood Gardens Crossing;002;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2317;2110631250122;Friederike Kupec;87326 Muir Junction;004;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2318;2110631250123;Velma Mariaud;3 Thompson Point;007;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2319;2110631250124;Hastie Woolway;815 Moose Parkway;006;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2320;2110631250125;Nerti Tzarkov;2177 Anzinger Park;010;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2321;2110631250126;Sasha Belderfield;1199 Reinke Pass;003;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2322;2110631250127;Laurence Mynott;5989 Pleasure Hill;006;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2323;2110631250128;Aurel Dunton;887 Dryden Alley;009;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2324;2110631250129;Morgun Dodgshun;20 Eggendart Hill;009;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2325;2110631250130;Jakie Sprason;3 Emmet Terrace;006;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2326;2110631250131;Ianthe Blaise;731 Sunbrook Terrace;009;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2327;2110631250132;Francisco Cinderey;7304 Shelley Road;002;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2328;2110631250133;Ingeberg Van Der Walt;0071 Eggendart Alley;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2329;2110631250134;Laure Ellph;1257 Nobel Crossing;008;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2330;2110631250135;Maxine Kulicke;1589 Debra Terrace;005;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2331;2110631250136;Marion Andriulis;18470 Union Crossing;005;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2332;2110631250137;Saba Duffin;Kp. Era Caffe 3;010;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2333;2110631250138;Carola Jozwiak;Kp. Era Caffe 4;004;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2334;2110631250139;Mace Minkin;7 Merchant Avenue;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2335;2110631250140;Harrie Boome;21 Daystar Park;008;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2336;2110631250141;Claretta Heaysman;34 Ridgeview Point;010;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2337;2110631250142;Prentiss Breacher;77096 Russell Court;008;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2338;2110631250143;Emelia Thwaite;7042 Anzinger Road;007;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2339;2110631250144;Yettie Dobing;682 Schlimgen Road;009;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2340;2110631250145;Alexandro Beller;8841 Jackson Plaza;008;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2341;2110631250146;Doy Inglefield;2242 Thackeray Plaza;007;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2342;2110631250147;Gratia Gothrup;54 Kensington Point;005;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2343;2110631250148;Trista Osborn;925 Dawn Terrace;003;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2344;2110631250149;Moira Gothup;9 Katie Junction;004;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2345;2110631250150;Torey Taree;97 Melrose Center;010;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2346;2110631250151;Enriqueta Harmstone;8021 Bonner Alley;003;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2347;2110631250152;Demetre Beddingham;12 Lakewood Gardens Crossing;009;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2348;2110631250153;Wyndham Brimham;87326 Muir Junction;003;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2349;2110631250154;Thia Talman;3 Thompson Point;009;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2350;2110631250155;Maribel Ranscombe;815 Moose Parkway;002;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2351;2110631250156;Reinald Clapton;2177 Anzinger Park;007;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2352;2110631250157;Staci Goodie;1199 Reinke Pass;007;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2353;2110631250158;Ingmar Cobbold;5989 Pleasure Hill;007;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2354;2110631250159;Ambrose Addekin;887 Dryden Alley;010;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2355;2110631250160;Rubetta Alders;20 Eggendart Hill;005;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2356;2110631250161;Hana Skeete;3 Emmet Terrace;003;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2357;2110631250162;Lari Reichert;731 Sunbrook Terrace;010;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2358;2110631250163;Marielle Scarlet;7304 Shelley Road;010;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2359;2110631250164;Wernher Bernhardt;0071 Eggendart Alley;008;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2360;2110631250165;Gale Chrismas;1257 Nobel Crossing;004;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2361;2110631250166;Mathian Blazi;1589 Debra Terrace;010;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2362;2110631250167;Gaspar Bree;18470 Union Crossing;001;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2363;2110631250168;Doloritas de Mullett;Kp. Era Caffe 3;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2364;2110631250169;Lucais Dimitrov;Kp. Era Caffe 4;003;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2365;2110631250170;Elvis Reede;7 Merchant Avenue;010;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2366;2110631250171;Allyn Ingerson;21 Daystar Park;002;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2367;2110631250172;Merle Wallington;34 Ridgeview Point;005;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2368;2110631250173;Cirillo Belliveau;77096 Russell Court;002;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2369;2110631250174;Hoebart Sperrett;7042 Anzinger Road;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2370;2110631250175;Orsola Dunkerton;682 Schlimgen Road;010;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2371;2110631250176;Tiena Chesser;8841 Jackson Plaza;001;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2372;2110631250177;Yetty Harris;2242 Thackeray Plaza;007;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2373;2110631250178;Stefano Matias;54 Kensington Point;010;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2374;2110631250179;Gerard Elsmor;925 Dawn Terrace;009;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2375;2110631250180;Tristam Goneau;9 Katie Junction;004;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2376;2110631250181;Jere Atkinson;97 Melrose Center;008;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2377;2110631250182;Jocko Mehaffey;8021 Bonner Alley;005;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2378;2110631250183;Nevins O' Borne;12 Lakewood Gardens Crossing;007;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2379;2110631250184;Lin Tosspell;87326 Muir Junction;001;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2380;2110631250185;Marcia Burvill;3 Thompson Point;008;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2381;2110631250186;Daisie Brydell;815 Moose Parkway;001;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2382;2110631250187;Geri Checklin;2177 Anzinger Park;002;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2383;2110631250188;Audre Stathers;1199 Reinke Pass;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2384;2110631250189;Petey Schreurs;5989 Pleasure Hill;009;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2385;2110631250190;Katerine Skuce;887 Dryden Alley;004;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2386;2110631250191;Marion Mumby;20 Eggendart Hill;008;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2387;2110631250192;Lolita Linley;3 Emmet Terrace;003;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2388;2110631250193;Josias La Vigne;731 Sunbrook Terrace;003;001;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2389;2110631250194;Abbie Yapp;7304 Shelley Road;002;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2390;2110631250195;Karoly Caudrelier;0071 Eggendart Alley;005;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2391;2110631250196;Zeb Casburn;1257 Nobel Crossing;003;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2392;2110631250197;Iolande Spencook;1589 Debra Terrace;007;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2393;2110631250198;Anderea Muslim;18470 Union Crossing;004;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2394;2110631250199;Lucius Stormes;Kp. Era Caffe 3;002;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2395;2110631250200;Saw Jerome;Kp. Era Caffe 4;006;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2396;2110631250201;Brandais Bartoletti;7 Merchant Avenue;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2397;2110631250202;Elsy Allain;21 Daystar Park;003;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2398;2110631250203;Mela Billingsly;34 Ridgeview Point;009;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2399;2110631250204;Temp Matchett;77096 Russell Court;003;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2400;2110631250205;Sharyl Cona;7042 Anzinger Road;001;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2401;2110631250206;Mercedes Pietrzyk;682 Schlimgen Road;009;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2402;2110631250207;Renie Spikins;8841 Jackson Plaza;008;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2403;2110631250208;Reinwald Rhule;2242 Thackeray Plaza;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2404;2110631250209;Terrel Bremmell;54 Kensington Point;006;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2405;2110631250210;Rickert Tellenbroker;925 Dawn Terrace;006;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2406;2110631250211;Paulo Yantsurev;9 Katie Junction;003;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2407;2110631250212;Deana Cracie;97 Melrose Center;004;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2408;2110631250213;Marwin Bricknell;8021 Bonner Alley;009;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2409;2110631250214;Charis Smales;12 Lakewood Gardens Crossing;009;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2410;2110631250215;Isidoro Beavis;87326 Muir Junction;006;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2411;2110631250216;Ferrell Scamp;3 Thompson Point;003;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2412;2110631250217;Gayle Jurick;815 Moose Parkway;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2413;2110631250218;Matthus Middas;2177 Anzinger Park;008;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2414;2110631250219;Colline Impy;1199 Reinke Pass;006;002;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2415;2110631250220;Fredra Whiteley;5989 Pleasure Hill;006;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2416;2110631250221;Clement Chezelle;887 Dryden Alley;010;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2417;2110631250222;Gottfried Mitro;20 Eggendart Hill;007;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2418;2110631250223;Paola Wilkison;3 Emmet Terrace;004;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2419;2110631250224;Bernarr Caesar;731 Sunbrook Terrace;010;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2420;2110631250225;Wyn Alvis;7304 Shelley Road;004;005;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2421;2110631250226;Harriot Boother;0071 Eggendart Alley;010;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2422;2110631250227;Dean Arnold;1257 Nobel Crossing;005;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2423;2110631250228;Price Elder;1589 Debra Terrace;004;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2424;2110631250229;Jeremy Benito;18470 Union Crossing;007;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2425;2110631250230;Ode Freeberne;Kp. Era Caffe 3;005;002;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2426;2110631250231;Jerrie Arboine;Kp. Era Caffe 4;010;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2427;2110631250232;Letizia Nanuccioi;7 Merchant Avenue;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2428;2110631250233;Bay Willoughley;21 Daystar Park;008;001;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2429;2110631250234;Ricki Hankinson;34 Ridgeview Point;004;003;P;2025-12-27 13:20:44;2025-12-27 13:20:44
2430;2110631250235;Cass McCurt;77096 Russell Court;003;003;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2431;2110631250236;Berkley Craythorn;7042 Anzinger Road;006;005;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2432;2110631250237;Teddy Kidds;682 Schlimgen Road;001;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2433;2110631250238;Cati Rudkin;8841 Jackson Plaza;007;004;L;2025-12-27 13:20:44;2025-12-27 13:20:44
2434;2110631250239;Babita Harbour;2242 Thackeray Plaza;003;004;P;2025-12-27 13:20:44;2025-12-27 13:20:44
